Sidewalk|a paved path for people to walk on beside a roadway|Bikers were afraid to ride in the middle of the busy street, so they cycled down the adjoining sidewalk instead.|
Sidle|to move in a discreet manner, often by walking sideways|Members of the rescue team will sidle around the building to avoid being seen by the kidnappers.|
Siege|a circumstance in which a group, usually a military or law enforcement agency, surrounds an area or building in an attempt to take it over|During the siege of the village, the villagers were forced to give up their property.|
Siesta|an afternoon nap that is usually associated with Mexico or Latin countries|Preparing for a quick siesta, the sleepy man rubbed his eyes and reclined his chair.|
Sieve|a utensil with holes that is used to separate items|Use a sieve to remove the pulp from the juice.|
Sift|to examine something carefully in order to locate an object of value|With the hope of finding survivors, the rescuers slowly sift through debris.|
Sigh|an audible release of air used to express a feeling|When the man realized his wife hadn’t been harmed in the car accident, he released a loud sigh of relief.|
Sight|vision, or the literal ability to see|The guards blinded my sight with a strip of cloth to ensure that I did not see the path they took to reach their secret base.|
Sightseeing|related to traveling around a region seeing interesting sights|Sightseeing tours to the ancient coliseum are only offered to large groups by reservation.|
Sign|to write or inscribe something|To buy the home, the couple had to sign their names in pen on several pieces of paper.|
Signal|a gesture or sign used to communicate|The biker used his left hand as a signal that he would be making a turn.|
Signatory|the signer of an official document, either a person or a country|The French government became a signatory of the treaty, signing the document in the late 1800s.|
Signature|a person’s name written by his or her own hand|With the largest signature, John Hancock is best known for the way he signed his name on the Declaration of Independence.|
Signature|a person's name written distinctively as a form of identification|By providing his signature on the form, the university student agreed to pay for all of his classes in full.|
Significance|worthy or valuable in a certain way|Timothy didn’t know the significance of the pocket watch his father gave him when he was a teenager until he found out later that it had been passed down for many generations.|
Significant|meaningful, noteworthy or important|Without any significant proof of his involvement, the man was let off with a stern warning.|
Signify|to mean or show something|In the painting the abandoned rose is supposed to signify a lost love.|
Silence|complete absence of noise or sound|Silence swept over the crowd once talkative crowd, as the speaker prepared to announce the winner.|
Silent|not making or accompanied by any sound|With no children at school to laugh or make noise, the classroom was eerily silent.|
Silhouette|a black outline of the shape of a person or thing|The silhouette in my locket is an outline of my mother.|
Silky|smooth and soft with a glossy texture|The woman liked to keep her hair soft and silky by washing and conditioning it every day.|
Sill|a piece of wood or metal that forms a ledge at the foot of a window opening or doorway|A leak around the front door sill allowed water to pour in to the building during the flood.|
Silly|acting ridiculous or childish|While watching the silly cartoon on television with the roadrunner chasing Bugs Bunny, the kindergartners laughed.|
Silly|goofy and playful|The children played silly games on the playground and laughed at each other’s funny antics.|
Silo|a farm tower used to store grain|Wheat is placed in a drying silo before it is sold in the farmer’s market.|
Silt|fine deposits of silt or clay that are carried by moving water or wind and settle at the bottom of a river|Larger than clay but smaller than sand, pieces of silt are moved by the fast-moving Mississippi and settle at the bottom of its river banks.|
Simian|of or pertaining to monkeys or apes|The actor mimicked simian movements for his role in Planet of the Apes.|
Similar|alike or close to the same|While the two brothers are not identical twins, they are so similar in looks and personality that I still cannot tell them apart.|
Similarity|a likeness or resemblance|The similarity in grandfather and grandson’s looks are uncanny, as most would not be able to tell their pictures apart.|
Similarly|in a like manner|In the military, all of the new recruits are similarly dressed.|
Simile|a comparison that generally uses like or as to make lofty or exaggerated descriptions of a person or object|The students were instructed to write a simile using ‘like’ or ‘as’ to compare their best friend to an animal.|
Similitude|the condition of being alike|Because the murders in the two states have similitude and share similar features, the cases will be given to the national police.|
Simmer|to cook slowly below boiling temperatures|The thick pasta sauce splattered all over the stove because it was meant to simmer, not boil!|
Simony|the act of selling church offices, roles, or religious pardons|Simony was outlawed by a few kings as the selling of church roles was frowned upon by many.|
Simpatico|to be well-matched and like-minded|Finding a simpatico partner in life has become easier for many single people since there are so many dating sites to find people with similarities.|
Simper|a silly or shy grin|The simper on Kate’s face causes me to think she gets nervous whenever she talks to a boy.|
Simple|easy; effortless|Mia needs a simple recipe to follow to create a quick dinner.|
Simpleton|an unintelligent or foolish person|The simpleton was so clueless, he didn’t realize that paper was made out of wood.|
Simplicity|the state of being easy or simple|After living in a huge city for twenty years, we were eager to enjoy the simplicity of small town life.|
Simplify|to make something easier to understand or do|The intellectually advanced professor tried to simplify the material for his less intelligent students.|
Simply|in a plain and straightforward manner|The designer likes to make her dresses simply and includes very few bright colors or details to the material.|
Simulacrum|an image or representation of a person or an image|Constructing a model-size simulacrum, the contractor hoped to give potential buyers a better understanding of what the condominiums will look like.|
Simulate|to duplicate or replicate an image or a behavior|Many homeowners use apps that simulate the sound of a barking dog to keep intruders out of their homes.|
Simultaneously|at the exact moment|The song sounded out of sync because the flutists were not playing simultaneously.|
Sin|an act that is against a religious or moral law|Isn’t it ironic that many people who believe murder is a sin still support the death penalty?|
Since|from then until now|Jen has suffered from the heart condition since birth, but just now discovered how serious it can be.|
Sincere|genuine; meaning what one says or does; honest|The judge agreed to lighten Howie’s sentence, if he made a sincere effort to improve his behavior.|
Sincerely|in a manner that sounds truthful or genuine|Because the doctor spoke sincerely, I really believed he cared about my health.|
Sincerity|honesty; in a way that is free of deceit|The traveler’s sincerity was questioned when he failed to declare funds to U.S. Customs agents.|
