Dweller|a person who lives in a particular place|The apartment manager offered the dweller a month of rent free living in exchange of a new lease signing.|
Dwelling|a place where people live|An adobe dwelling was made from dirt and other organic materials.|
Edema|an increase in the size of an area of a person’s body due to excess fluid|Once the pain was too much to bear due to Kevin’s edema, he was admitted to the hospital to drain the water pooling under his skin.|
Edge|the rim or border of a place or thing|As the hikers reached the edge of the forest, they realized they would be walking across a large field next.|
Edgy|jumpy and tense|After the plane continued to shake uncontrollably, the passengers began to get edgy for fear of the plane crashing.|
Edible|that can be eaten without harm; eatable|Mom’s dinner was barely edible so I ordered takeout instead.|
Edict|an order made by a person or body of authority|The principal’s edict prohibits female students from wearing skirts and dresses that do not cover their knees.|
Edification|moral, intellectual, or spiritual improvement; through encouragement and instruction|Professor Tom likes to have his students fill out this questionnaire for his own edification as to whether he is omitting anything they’re interested in studying.|
Edify|to teach in a way that improves the mind or character|As good Christians, we must seek to edify our neighbors about God and Jesus Christ.|
Elegy|a poem or song displaying grief or mourning|Since I am not an animal lover, I could only sigh as Ann sang an elegy for her dead cat.|
Element|a specific portion of something |The detective needed to find the final element of the puzzle in order to identify the killer.|
Elemental|fundamental; essential|An elemental requirement for the program is a 3.0 GPA.|
Elementary|pertaining to the basic or fundamental part of a topic|Once the child graduated from his elementary school, he would have to go through middle and high school.|
Elephantine|resembling an elephant|She adds elephantine memory, social charm, and striking vitality to the marketing business.|
Elevate|to increase in distance |“Elevate your legs so the blood won’t flow as fast to your injured foot,” the coach yelled to his injured player.|
Elevation|the altitude between two points|Ms. Smith worried that the low elevation of the city would cause the forecasted rainstorms to flood the land.|
Elevator|a device used for raising and lowering people in multi-floor buildings|She rode the elevator to the second floor of the apartment building which is where she lives.|
Elfin|waiflike or fragile|Due to her elfin frame, many soccer players were afraid that their teammate would get injured easily if their opponent ran into her.|
Elicit|to draw out or bring forth|The comedian hoped his jokes would elicit a great deal of laughter from the audience.|
Elide|to leave out or omit|The teacher decided to elide the last test since most of the students failed.|
Eligible|the ability or qualifications to meet or fulfill a stipulation|Mary was eligible for rehire with the Thompson Paper Company because she was simply laid off from her secretarial position the year before.|
Eliminate|to totally do away with something|Diet pill advertisements claim that they can eliminate belly fat by taking just a few pills a day.|
Elimination|the complete destruction or annihilation of something|Because our enemy does not take prisoners, we will face total elimination if we even think of surrendering to them.|
Elision|omitting sounds in order to make something to easier to pronounce|Elision occurs in Latin poetry as a stylistic device where phrases are omitted.|
Elite|individuals who are viewed as the finest in a group or society|Because Anna is quite wealthy, she sends her children to the area’s most elite school.|
Elitism|the belief that one's social group is superior to others|Spreading their elitism across Germany, the Nazis pushed to prove they were superior to all other races.|
Elixir|a substance or liquid which is believed to cure illness and give eternal life|The salesman was selling an elixir that he said would protect us all from the plague.|
Elliptical|oval or egg-shaped|I painted the elliptical shaped Easter egg with pastel colors.|
Elocution|the way in which an individual reads or speaks in front of others|During the play, the actor’s elocution was so magnificent the audience grew bored whenever he was not on stage.|
Elongate|to make something longer|In an attempt to elongate her body, the dancer stood on her tiptoes and stretched her arms up to the sky.|
Elope|to run away in order to get married|The couple’s dream was to elope in a Vegas wedding with Elvis leading their ceremony.|
Eloquent|having or showing the ability to use language clearly and effectively|When you listen to the eloquent politician speak, you always understand his message.|
Elsewhere|referring to some other place|Since we couldn’t find any of the supplies at the grocery store, we decided to look elsewhere.|
Elucidate|to make clear or easy to understand|To make life easy for my math students, I go out of my way to elucidate the complex problems before each test.|
Elude|to avoid something or someone|The criminal was able to elude the police in the crowded mall.|
Elusive|difficult to find, catch, or achieve|The police are finding it difficult to catch the elusive bank robber.|
Elysian|heavenly; divine|Ancient Greeks prepared to leave their earthly home and rest in Elysian Fields during the afterlife.|
Emaciated|abnormally thin or weak, especially because of illness or a lack of food|Because some sick animals refuse to eat, many of them become emaciated.|
Emacity|the compulsive love for and desire to obtain, purchase, or spend money on items|For Claudia, her emacity was an addiction that forced her to buy hundreds of dollars worth of items she did not need.|
Emanate|to come out from a source|Hopefully, the fun memories of the weekend will emanate throughout the office and give all the employees a positive outlook this week.|
Emanating|coming from|The smoke emanating from the stove was a clear sign something was burning.|
Emanation|a particular thing that is released from a certain source|An emanation will rise through the opening once the humidifier has been running for a while.|
Emancipate|to give freedom to someone|As my father walked me down the aisle, he told me he was happy to emancipate me so I could live my own life.|
Emancipation|the act or process of freeing someone legally or socially|Many slaves became sharecroppers and never left the plantation after emancipation.|
Emasculate|emasculate means to lessen a man’s identity|He was worried his pink pants would emasculate him a bit, but he wore them anyway.|
Embalm|to protect a dead body from rot by inserting it with a chemical compound|In ancient Egypt, people would embalm the bodies of famous leaders by removing the organs and fluids before wrapping it in cloth.|
Embankment|a wall made of dirt or stone that is used to prevent a river from flooding|Sitting on the grassy embankment, the fisherman prepared to throw his line into the river.|
Embark|to begin anew|Tomorrow Grant will start college and embark upon a new phase in his life.|
Embarrass|to make someone look shameful or foolish in public|My mother likes to embarrass me by showing everyone my baby pictures.|
Embarrassment|the state of feeling shame or discomfort with one’s self|With the woman’s sex tape being released this morning, there was no way to avoid public embarrassment.|
Embedded|an object deeply implanted, enclosed, or ingrained within something|After the wind storm, many pieces of wood embedded themselves in the siding on my house.|
Embellish|to make something sound or look better or more acceptable than it is in reality;to make more beautiful and attractive; to decorate|Because Marco has always had a tendency to embellish the truth, no one believed he had been mugged.|
Ember|a glowing piece of coal or wood|The fire was blamed on an ember from the camp fire that had not been fully extinguished.|
Embezzle|to take property or funds one has been entrusted to keep|The teller will be prosecuted if she helped the loan officer embezzle bank funds.|
Emblazon|to decorate something with a noticeable design or symbol|My crafty sister-in-law was able to emblazon my t-shirt with a glittery monogram.|
Emblem|a representative symbol, such as a trademark or logo|The show requires everyone to wear a shirt that sports the emblem of their company so that people can network more effectively.|
Emblematic|serving as a symbol|The American flag is emblematic of freedom.|
Embodiment|an individual or thing that serves as a role model|My lecturer holds several advanced degrees and is the embodiment of the ideal scholar.|
Embody|to stand as a symbol for something|The national flag is supposed to embody the spirit of our country.|
Embolden|to motivate or inspire|Do you believe alcohol commercials embolden teens to drink?|
Embossed|to carve, mold, or stamp a design into something|The graffiti artists embossed their signature designs onto the side of the building.|
Embrace|to clasp someone or each other with affection; hug |I have come to appreciate warm people who embrace me just because they're happy to see me.|
Embrace|to hold someone closely in your arms|Running into each other’s arms, the couple began to embrace each other tightly.|
Embrace|to accept the idea or reality of something|Harold tried to embrace the idea that his wife wanted a divorce, but he still had a hard time accepting it.|
Embroider|to decorate cloth by sewing patterns on with thread|I had my mother embroider my initials on my jacket so none of the other kids would take it home.|
Embroidery|needlework|Doing extra embroidery work on the side, the talented seamstress enjoyed doing needlework.|
Embroiled|pulled into a situation|I avoided my two best friends because I did not want to get embroiled in their dispute.|
Embryo|an organism in the earlier stages of development before it emerges from the egg, or before metamorphosis|Before I was a baby, I was an embryo.|
Embryonic|referring to a system or idea that has potential for significant development|Our company is still in its embryonic stage, having just started and having a lot of room to grow and expand.|
Emendation|the action of fixing written errors|Fortunately, John’s first draft of his paper required only a single emendation before it could be submitted for a grade.|
Emerge|to come forward or appear|Who will emerge victorious at the end of the boxing match?|
Emergency|a situation which poses an immediate risk and requires urgent attention |The family gathered into the hospital’s waiting room when my grandfather needed an emergency surgery to remove a blood clot from his brain.|
Emergent|in the process of emerging, of coming into being or prominence|The emergent young singer may not be famous yet, but his great talent points to a future in show business.|
Emeritus|retaining a title of honor after retirement|Barack Obama is the emeritus President of the United States.|
Emesis|throwing up; barfing|Because some patients experience emesis after surgery there are always basins in the recovery area.|
Emigrant|a person who leaves their home country to live permanently in a new country|Marco is an emigrant from Cuba, which is immediately obvious from his accent.|
Emigrate|to move from an individual’s home country to another country|Many Mexicans illegally emigrate into the U.S. from Mexico.|
Emigration|the act of relocating to another region or nation|Because of the high rate of emigration, our country’s population is decreasing.|
Eminence|having a superior or famed ability at a specific activity|Taylor Swift’s eminence as a creative singer and style icon make her one of the most well known celebrities in the world.|
Eminent|remarkable, great|Everyone was looking forward to taking the class with such an eminent professor.|
Emissary|an individual who acts on behalf of another person|The celebrity sent his assistant as an emissary to pick up the movie contract.|
Emission|the act of releasing or sending out something|The mechanic is checking the engine to identify the source of the emission coming from my car.|
Emollient|something which softens or lubricates the skin|The lotion was a great emollient for her dry skin.|
